ID,Zadanie,Produkt,Wymaganie źródłowe (Cele zadań 11 i 14),Pokrycie w Spec v2.0,Status,Luka / rozbieżność,Priorytet,Działanie w Spec v3.0,Właściciel domknięcia,"Pokrycie w istniejącej aplikacji (audyt kodu, 26.07.2026)"
Z.0,Zasady,Zasady przekrojowe,"Zasada HITL: żadna decyzja o alokacji, skalowaniu lub wycofaniu finansowania nie jest ostateczna bez zatwierdzenia człowieka",Zasada obecna jako Guardrail nr 2; workflow zatwierdzania w AppSheet,POKRYTE,— (kierunek zgodny; operacjonalizacja statusów w Z.4),P0,Utrzymać jako zasadę konstytucyjną v3.0,Zamawiający,"BRAK — aplikacja w pełni automatyczna; brak jakiegokolwiek workflow zatwierdzeń (Daisy to doradca konwersacyjny, nie panel decyzyjny)"
Z.1,Zasady,Zasady przekrojowe,"Wyniki zadań 4 i 8 jako formalny input: słownik zmiennych, formuły EIESI/EIRRI/CRI, klasyfikacje, klastry, regresje, ANOVA, luki",Brak jakiejkolwiek wzmianki o zadaniach 4 i 8,BRAK,Zerwana zależność upstream — spec niesamowystarczalna; formuły wskaźników „wiszą w próżni”,P0,Załącznik „Pakiet wejściowy zadań 4/8” z rejestrem wersji inputów,Zamawiający + Architekt,"JEST — formuły zadań 4/8 wiernie zaimplementowane: EIFII, ISBI (SDmax=40 poprawne), CRI ważone, EIRSI-LQ + EIPI/TTEI/TRLI/EISEI z dynamicznym przeskalowaniem wag przy brakach; pakiet wejściowy = kod + dokument wskaźników"
Z.2,Zasady,Zasady przekrojowe,Zasada eliminowania powtórzeń: nie powtarzać diagnoz z zadań 4/8 poza 8 dozwolonymi wyjątkami,Brak,BRAK,Ryzyko podwójnej pracy i rozjazdu wyników między zadaniami,P1,Reguła w zasadach v3.0 + odwołanie w DoD każdego produktu,Zespół merytoryczny,"BRAK — wspólna funkcja isProjectEco łączy logikę 4/8, ale zasada niepowtarzania diagnoz nigdzie nie jest wyrażona"
Z.3,Zasady,Zasady przekrojowe,Rozdzielenie 4 warstw: dane / analityka / deterministyczny silnik reguł DSS / generatywna AI,Moduły 1–4 częściowo odwzorowują; silnik reguł zredukowany do 1 przykładu CASE; brak kontraktów między warstwami,CZĘŚCIOWE,Warstwa reguł bez katalogu drzew decyzyjnych i governance; granice uprawnień warstw nieformalne,P0,Architektura 4-warstwowa z jawnymi kontraktami wejścia/wyjścia,Architekt,BRAK — logika ZDUPLIKOWANA klient/serwer (calculateTaskX w Code.gs i calculateTaskXLocal w index.html); brak warstwy reguł i kontraktów
Z.4,Zasady,Zasady przekrojowe,HITL operacyjnie: 5 statusów rekomendacji (automatyczna / oczekująca / zatwierdzona / odrzucona / zmodyfikowana),AppSheet z 4 statusami — „automatyczna” i „oczekująca” scalone,CZĘŚCIOWE,Brak rozróżnienia: wygenerowana vs skierowana do weryfikacji; brak SLA przeglądu i zasady 4 oczu dla czerwonych,P0,5 statusów + workflow z SLA + zasada 4 oczu dla alarmów czerwonych,Architekt + Zespół merytoryczny,"BRAK — zero statusów rekomendacji, dostęp anonimowy („accessible to anyone, even anonymous”)"
Z.5,Zasady,Zasady przekrojowe,Lineage 8-ogniwowy: źródło → obserwacja źródłowa → transformacja → wskaźnik → próg → reguła → rekomendacja → decyzja,Łańcuch 7-ogniwowy; pominięta „obserwacja źródłowa” (poziom rekordu),CZĘŚCIOWE,Audyt nie schodzi do rekordu źródłowego — utrudnione wyjaśnianie pojedynczych wyników,P1,Pełny łańcuch z identyfikatorem na każdym ogniwie,Architekt danych,"ZALĄŻEK — Logs_History rejestruje akcje, statusy i czasy operacji; to dziennik zdarzeń, nie lineage wyników"
Z.6,Zasady,Zasady przekrojowe,"Wersjonowanie: 8 triggerów nowej wersji modelu (wzór, dane, wagi, normalizacja, progi, drzewo, imputacja, przypisanie wieloregionalne) + 6 metadanych każdego wyniku",Jedynie pole „version” w schemacie JSON,BRAK,Wyniki nieodtwarzalne po zmianie progów/wag — audytowalność deklaratywna,P0,Rejestr wersji modelu + stemplowanie każdego wyniku 6 metadanymi,Architekt danych,"BRAK — wyniki liczone ad hoc przy każdym wywołaniu, bez wersji modelu i stemplowania"
Z.7,Zasady,Zasady przekrojowe,"Obsługa niepewności: 7 atrybutów per wynik (kompletność, aktualność, imputacja, zakres, stabilność, wrażliwość na wagi, wiarygodność W/Ś/N)","Brak — ani w KPI, ani w JSON, ani w dashboardzie",BRAK,Odbiorca nie odróżni wyniku twardego od kruchego — ryzyko decyzji na danych niskiej jakości,P0,"Obowiązkowy obiekt „uncertainty” w każdym wyniku, karcie i rekomendacji",Metodolog,ZALĄŻEK — dynamic weight rescaling + wskaźnik kompletności komponentów (eipi_comp/eisei_comp) w leaderboardzie; pozostałe 6 atrybutów niepewności nieobecne
Z.8.0,Zasady,Zasady przekrojowe,Bezpiecznik efektu niskiej bazy — koncepcja: flaga + blokada automatycznego skalowania,Koncepcja obecna: low_base_flag + LOW_BASE_LOCK_ENABLED + wariant „pilotaż”,POKRYTE,— (kierunek trafny; wykonanie w Z.8.1),P0,Utrzymać i rozbudować wg Z.8.1,Metodolog,BRAK — brak flagi niskiej bazy w jakiejkolwiek postaci
Z.8.1,Zasady,Zasady przekrojowe,Bezpiecznik — wykonanie: 7 przyczyn flagi + 6 warunków oceny przed skalowaniem + symetria (ochrona także przed pochopnym cięciem),"2 warunki (count<3, share>0,5); brak warunków trwałości i instytucjonalnych; brak symetrii",CZĘŚCIOWE,"Redukcja 8→2 kryteriów; system chroni tylko przed skalowaniem, nie przed wycofaniem przy małej próbie",P0,Pełny zestaw warunków + reguła „mała próba ≠ automatyczne ograniczenie”,Metodolog,BRAK — klasyfikacja regionów stałymi progami EIRSI (1.2/1.0/0.8/0.6) bez ochrony małych prób i dominant
